tweet,label,label_type
mungkin suatu atlet tanding gak usah ketemu pake alat aja macam virtual gitu tanding nya mungkin fisik bola akan ganti virtual mungkin dokter gak perlu periksa kali yaa pasien pasang alat terkonek ke dokter dokter tau apa yg jadi organ tubuh pasien,neg,0
udah gila lu vid,neg,0
jd ingat jarvis ironman,neg,0
bang mungkin telpon jaga bagai supir nambrak makanya telpon jalan,neg,0
kl main game mobile legend gmn tuh seru kayak,neg,0
edingnya david isekai,neg,0
alangkah kalo mainin mama kafka blackswan,pos,1
kalaupun uang tetapi sama sekali tidak tarik sama yg ini,pos,1
yehaa nama juga kang sepong bang biar mereka menyepong sampe kering,neg,0
nyobak trotoar jalan bos,pos,1
bang david bikin konten rekomendasi power bank dong range k kalo sekali testdiadu asli kapasitas,pos,1
mohammadfachrulrafli banyak banget bro ngerendahin qris cuma gara lihat film orang bayar apa modal tap iphone gabisa,neg,0
tunggu unboxing tecno pro,neg,0
samsul somay oddo vivos udah rencana bikin gak mau kalah,neg,0
kek besok pas abad nya negara indonesia ngerayain nya pake dehtapi bakal keren bet sihhmoga aja bisa kembang di negara lainsemangat terus apple,pos,1
david gadgetin tinggal charger terus kirim jakarta becanda lu bang,neg,0
make gituan bikin sakit mata gak soal dulu pernah pake vr bikin sakit mata,neg,0
boleh pakai lama terbang kah,neg,0
klo buat main pokemon go si bagus banget yaa ke kita bener punya pokemon di dunia nyata heeheehe,pos,1
prototype cikal bakal sejakpada samsung gear vr milik tampil menu bas ar menu lihat layang pandang depan mata berkat kamera smartphone yg pasang butuh smartphone guna ar smartphone bantu sensor yg gear vr perangkat vr sendiri cara teknologi dasar tahun an sedang produk apel kroak kembang prototype cikal bakal sebut madu sistem ar dalam satu gadget beda apel kroak lebih sempurna makan waktu lebih lama realisasi vision pro jadi cara dasar perangkat vr cicip software interacted ar dileaks lebih samsung era galaxy s edge lebih sempurna apel kroak harga kenal fantastis,pos,1
gadget canggih makin jangkau berkat angkt,pos,1
next gen yakin bakal kayak sunglass nya iron man,neg,0
paling kurir cuma iqbal,neg,0
angkt ogah deh sama gadget gak manfaat,pos,1
lg mdahn apple buat kaca tembus pandang ges,pos,1
bang coba ken tau reaksi bapak ibu pake barang itu,neg,0
bang coba review hp nubia neo g,pos,1
realitanya lion parcel jktdps hari barang nginap lama gudang bagai kota udah kota tuju nginep ga langsung kirim siang gapas box paket penyok ga bentuk pertama akhir milih ekspedisi lion parcel,pos,1
nice,pos,1
yg pikir sama gua like,neg,0
iqbal pas ngedit video ngakak sendiri gak ya,pos,1
wkwkwk bang david ane salfok sama banner warung sotonyahhh gkar menang rakyat sejahtera,pos,1
gw bayangin klo game yugiohpokemon pake ni barang duel sama player dunia nyata wah gokil keren banget si,pos,1
apple vision keren bgt klu dipakek dlm ruang tp klu pakek muka umum jln jatuh kek orang tolol mungkin bentuk apple vision terlalu gede maaf pribadi,neg,0
gw nontonnya malah pusing,neg,0
nanti juga produksi oleh negara china juga murah,neg,0
game batle royal asyik kayak,neg,0
jujur pusing lihat,pos,1
nyata gak bagus banding meta quest harga ga sampe nya,pos,1
malah makin puyeng geter layar,neg,0
rebah nonton film main game trunbase jadi lebih enak nga repot pegang hp klo main game,neg,0
baru versi awal sih aja depan makin kecil,neg,0
perlu mental yg kuat mantap dapit,pos,1
cobain main game pubg mobile gak,pos,1
kira kira beberapa saat depan teknologi akan seperti apa ya,neg,0
itu pas vidiocal tampil gambar david hp ikbal gimana pov hp ikbal muncul muka david hp ikbal,neg,0
thumbnailnya kaya org stress wkwkwk,neg,0
nanti bakal konten yng begini judul challenge enggak pakai vision pro lama jam,neg,0
stop keluar rana kurang sambut,pos,1
cocok nih gandeng hoyoverse kata kan punya project game virtual world,pos,1
ketika editor berside job kurir,neg,0
saya cuma pake iris,neg,0
kalo buat rebah kyknya ngga deh dgn ukur yg segitu kyknya bkl kurang nyaman bagi yg kalo rebahn suk posisi gonta ganti kyk gw,neg,0
hp bakal gusur tanda dah mulai lihat,neg,0
nyata jadi autis mahal ya,pos,1
main pokemon go ga bang kyknya asik,pos,1
tapi rem si liat kembang teknologi kaya gin tapi keren juga,pos,1
tim nunggu infinix ngeluarin vision pro,neg,0
kalo pake kacamata gak pake alat ini,neg,0
kalau ada game buat latih beladiri,pos,1
bang coba tamiya munculin anime ngak bang munculin,pos,1
mes paling biar males nyuci tangan lagikayanya,neg,0
langkah pertama jadi iron man tuju era senjang sosialisasi,neg,0
ada tahu jenis mobil apa,neg,0
ga bayang tahun game kayak yugi sama pokemon go kerja sama sama apple vision gin emang gebrak baru dunia game,pos,1
andai versi kacamata gak perlu menghapal kalau uji sekolah buka google tahu,pos,1
gilanggilang makin enak lebih acu nyaman bang pakai mesti perhati pakai cerna kata saya,neg,0
bentar bentar jadi kita liat nya make kamera gitu gw kira kaya kaca langsung,pos,1
kesuwun,neg,0
selamat tunai ibadah puasa,pos,1
hi,pos,1
kalau kayak film diready player one gokil sih apple,neg,0
kacamata tony stark bilek,neg,0
saya,neg,0
gimana,neg,0
kirain lo bikin konten prank bang,neg,0
angkt suka ngelirik gadget manfaat aja,pos,1
kalo orang liat jauh kayak manusia halu autis,neg,0
ni kalau ada sponsor ga bisa dizoom apa ya video om david,pos,1
apa gk pusing tuh dg gyro sensi spt yakin bakal jd produk gagal google glass yg bagus malah dibanned gilir produk aneh vr begini kagak banned,neg,0
kalo buat liat azab kubur kayak bagus,neg,0
performa baterai apple vision pro cukup singkat angkt,neg,0
kalo connect macbook mouse pad ny hubung sama tab tab yg vision pro gk sih,pos,1
asik kalo masin duel master kayak bakal kaya masuk beneran dunia yugioh,neg,0
bang buat mata minus gin gimana wkkwkwwk gw minus,neg,0
the future is now,neg,0
bang riviw redmi note bang,neg,0
pakai apple vision pro hari apa ga bikin kepala pusing bang pakai kaca mata renang aja ga betah lamalama,neg,0
udah nonton chanel ga tau ngapa gua penasaran klo si david yg review sama sobat hape,neg,0
effect mata minus kanker kalau pakai lama lama kayak ya,neg,0
buat nonton si unyil asyik bang david waokwaok,pos,1
salfok bg david main catur pake buka italian game,pos,1
dan lengkap cincin jari konek vision pro rasa sensi getar sentuh virtual displaynya,neg,0
hemmm kalian pikir apa pikir,neg,0
apa main game codm,neg,0
aku mau,pos,1
benar,neg,0
gw tau pas wili salim konten langsung beli,pos,1
kamumanusia bru aja rilis shopee bg,pos,1
nulis komen pake apple vixion pro susah sih,neg,0
main pokemon go enak kali yah ini,pos,1
pasti bosan pake nih barang,pos,1
request redmi a bang david kayak keren aja soal,pos,1
google glass microsoft hololens steam index samsung gear vr htc vive nyimak aja,pos,1
tim cuma nonton gak beli absen,neg,0
game anime sao makin depan mata sih,pos,1
mantap kang,pos,1
masa depan orang makin banyak mata minus selinder makin banyak orang pake kacamata,neg,0
mungkin maksud abang vr ya,pos,1
liat saham coba bg market gitu,pos,1
versusin meta quest bang fungsi fitur hampir sama tentu harga sangat jomplang lebih worth mana,pos,1
mobil apa bng,neg,0
gadget canggih jadi lebih keren angkt,pos,1
hati mental isekai jadi slime bang,neg,0
pikmi,neg,0
cobain meta quest,neg,0
kalau ku tengok macem orang gila prmakai nya bakal tak duli lingkung sekitar,neg,0
haloo,pos,1
mirip minion ga sih,neg,0
angkt adaptasi bagai gadget modern,pos,1
gg,neg,0
org jomblo ketar tir ken yg begini,neg,0
kalo guamalu sih bang cafe pake gituan diliatin semua org,neg,0
lebih duluan dhiarcom,pos,1
bang coba youtube video aku penasaran,neg,0
keren bng,pos,1
tahun depan sdh biasa nunggu mobil taxi terbang,neg,0
bang review laptop donv rekomdasi tahun,neg,0
kalau logika saya sih tetap kayak orang gila,neg,0
hallo semua,pos,1
bg kalo orang ngliat apa yg liat bocor file urus kerja gak sih,neg,0
bagus nih kalau pokemon go masukjadi lebih immersive,pos,1
gaji umr nyengir aja dulu pojok,neg,0
capek mata bikin mata merah air gel hidung pipi nahan berat,neg,0
iy njer ngeri udh kyk anime sword art online aj,neg,0
review hp tecno pro bang,neg,0
itu hp yg abang buat sendiri ya,neg,0
ohh kerja samping iqbal,neg,0
bukan nyicupin emg lu mah gitu,neg,0
malah kek org dongo siih kalo pakai ginian,neg,0
hallo bang,pos,1
pake qris indo mana kasir minta foto bukti transaksi qrisnya maha yaa,pos,1
org org tahun wkt udah pikir konsep kek gin,neg,0
bang unboxing techno pova pro,neg,0
itu gak bisa multiplayer kah,neg,0
di masa depan mungkin simpel kacamata mungkin,pos,1
pasti ada yg pikir mau pakai buat nonton vr xxxxxxxxxxxxxxxxxxx,pos,1
tim gercep mana nih,neg,0
udah bayang kalo benda udah jadi umum ibarat hape pake sekarang bener bener tiap orang bakal asik dunia sendiri misal pas gerak gerak ga sengaja kena orang rusuh,pos,1
kyk nya klo sering make jln kerja bikin pusing kli sakit mata parah gak sih,neg,0
comment gercep norak,neg,0
kalo buat waifu jadi nyata dgn alat coba sih kalo ada,pos,1
kalah inovasi koar koar lu fanboy samsul,neg,0
awal muncul designnya besar lama lama makin kecil harga makin murah save omong tahun datang bukti,neg,0
serasa dunia paralel,neg,0
shangri la frontier be like,neg,0
jamanya shangrila frontier,neg,0
kalau pake lama bekas pipi gak bang,neg,0
kek gelandang kalo tahun lalu,pos,1
bayangin pas pakai vision pro pas mau tidur temenin gebetan dunia visiual,pos,1
a,neg,0
njir baru jam udah k aja like,neg,0
yap seperti biasa iklan natural banget,neg,0
angkt bikin gadget canggih makin trendy,pos,1
angkt jadi landas kuat kembang gadget,pos,1
kurir mang iqbal,neg,0
keren banget sumpah woi se andai nya gw gk nafsu beli ninja beli vision pro ini,pos,1
mau beli ah,pos,1
main genshin pakai vision pro wkwk,neg,0
ya dulu orang mau ciptain pesawat terbang bilang gila inti maju teknologi sulit bendung sih bang jadi ikut nikmatin teknologi beberapa tahun datang,neg,0
like nih bozzzz,neg,0
itu yg jd kurir bukan iqbal wkwk,neg,0
ready player one,pos,1
apple vision pro kabar punya fitur andal angkt,pos,1
canggih teknologi gabisa nyaingin visual mata asli,neg,0
bang tanda nihh baru sadar kmaren malam depa kaca mata tembus pandang walaupun lihat ai kalian ngelihat orang pake baju anime baju yg laen,pos,1
bisa gk bang main free fire apple vision pro,pos,1
seru film ready player one,pos,1
rip humanity,neg,0
yg ga sabar tiba besok yg duel pokemonyugioh,pos,1
tinggal tambah stabilisasi nya arti,pos,1
bang coba buat mata minus bang bantu,neg,0
mabar ml kek gimana tuh,neg,0
bang david please bahas oppo find x ultra donk review in byonix xinosh menang lirik flagship oppo baru oppo find x ultra,neg,0
byk yg lupa klo lgi bahas game vr gin yg nama psvr oculus dll,pos,1
sekarang dapit jadi abang ripyu endors,neg,0
coba buat orang nge las bang wkwk,pos,1
arti aja apple vision pro buat softlens,pos,1
mantep wong kito galo,neg,0
coba versus in oculus quest bang,pos,1
angkt jadi fokus utama teknologi gadget,neg,0
nonton boke nyaman,pos,1
b ayp bang ini hrus sensor yg plat mobil,pos,1
btw yt error kali ya,neg,0
gadget canggih sekarang makin up to date berkat angkt,pos,1
gadget gak angkt gak butuh,neg,0
kek gimana gt ya liat nya lihat in orang lg kuat bener mental bg david,pos,1
apakah manjadi loncat masa depan,neg,0
tinggal tunggu xiaomi ngeluarin produk yg sama harga tengah apple vision pro hihihi,pos,1
bang review note series dong,neg,0
angkt apple vision pro hadir kualitas foto kesan,pos,1
bad design for smart tech,neg,0
thumbnail nya kayak tantrum,neg,0
angkt apple vision pro penuh semua ekspektasi guna,neg,0
ketika lu hidup di,neg,0
klo pubg megang senjata situ bagus sih,pos,1
nungguin apple vision pro hdc nya,neg,0
harga apple vision pro cukup buat kantong angkt,neg,0
bang review redmi note resmi indonesia,pos,1
pertama,neg,0
yg dlu tertawa teknologi kamera timbun layar klo teknologi sebut renang darat,pos,1
apple vision pro kompatibel beberapa aplikasi angkt,neg,0
angkt jadi andal kembang gadget,pos,1
skill unlocked penasket gagedin,neg,0
kalo tempat umum kok kayak asa anehasing gitu bakal jadi pusat perhati,neg,0
bang coba nonton youtube g d avp,pos,1
angkt nyobain apple vision pro bikin excited,neg,0
cobain maen game ml bang,pos,1
liat thumbnailnya kok kasi ya,pos,1
angkt jadi terobos besar gadget modern,pos,1
kayak orang ilang pak wkwk,neg,0
buset gercep,neg,0
linkk starttt,neg,0
nunggu game yugioh apple vision pro,pos,1
paling nyebelin iklan wibsite tab baru mana mana,neg,0
mana review tecno spark pro bang,neg,0
kurir kaya bro iqbal,neg,0
gils emang,neg,0
saya yakin suatu bakal yg lebih keren ukuranya sama kacamata film gitu lah,pos,1
masuka akal kalo apple nga ngbolenih tlp travel mod takut nyetir make tlp,neg,0
terus kamera puh keren dah,pos,1
ajar nonton praktek biologi warteg wkwk,neg,0
mana bisa gw beli apple vision,neg,0
dulu nonton film animasi wall e kecil maybe suatu semua mulai nyata sekarang,neg,0
besok ikut beli deh kalo anak udah jadi presiden,neg,0
repiu hetset iem dong bang,neg,0
buat ajar anatomi sabi sih,neg,0
gua dua,neg,0
akhir nya apple inovasi kaga gitu aja,pos,1
asli jadi ingat anime ghost in the shell,neg,0
kira sekitar thnan udh umum,pos,1
angkt bikin gadget canggih makin edan,neg,0
saya si yakin apple vision pro makin tipis canggih harga lebih jangkau kembang teknologi makin ledak,pos,1
wihhh dji osmo pocket,neg,0
liat bangetny endorse,pos,1
nervegear bahaya nyawa untung cuman fiksi,neg,0
nahhh,neg,0
canggih benar wah mantap,pos,1
bang kan yg rasain cuma lo tim lo gimana kalo tes orang random suruh cobain gmna rasa nya,neg,0
thumbnail nya langsung pikir sound aku suka duduk sini,pos,1
keren banget,pos,1
kurir nya exball,neg,0
w lbh suka aja kalau cewe bs ngeliat transparant gk make baju lbh worth it lg sih,pos,1
gua percaya sih tahun bakal ada mobil terbang,pos,1
keren sama itel vision pro punya sya,pos,1
tetep aja gk ngelirik sempurna cipta tuhan kecil luas lihat dunia,pos,1
asik kalo bawa traveling nonton film liat youtube gk puyeng paling org yg keliling yg blm tau ira gila he,neg,0
aset mami kafka,neg,0
angkt tiap gambar apple vision pro asa istimewa,neg,0
mantap bang,pos,1
coba meta quest bang,pos,1
bisa gak nampilin cewek d bg hehe,neg,0
gadget canggih sekarang jadi kece angkt,pos,1
salfok sama digivice nya guilmon digimon frontier nge gantung belakang situ haha,neg,0
ok,pos,1
beliau hampir kira skizo,neg,0
lihat thumbnail nya duduk pojok gerak gerakin tangan asa lihat masa depan suram,neg,0
angkt bikin gadget canggih makin canggih,pos,1
kalo urus game kek hsr benar bukan urus apple sih urus developer nya ga bikin gamenya kompatibel si vision pro biar masuk gamenya biar ngeliatin cara langsung gamenya,neg,0
langsung klik aja,pos,1
buat gua yg minus turun tinggi make bantu banget wkwk,neg,0
angkt gak butuh gadget gak guna,neg,0
nggak sabar nunggu developer video game survival battle royal bikin game yg support vr ini,pos,1
duel master support sih kapal kartu muncul pas main,neg,0
oh bang gedgetin tinggal medit yah,neg,0
ini kayak di film perang yang di bioskop layar ngambang di udara betul nyata,neg,0
sedang tunggu keluar itel,neg,0
rebah online udah kayak anime sao hahaha,neg,0
bang bahas pwm vision pro kalau pakai hari pusing ga,neg,0
gadget canggih jadi makin heboh angkt,neg,0
iya bener juga,pos,1
the future is here,neg,0
kenapa tutup pandang depankarena gambar lihat hasil kamera sperti lihat video hpdi tambah fitur ada,pos,1
kurang lengkap bng harus,neg,0
pokemon go mantep banget sih pake ini,pos,1
masih pikir,neg,0
radiasi gimana,neg,0
coming soon ready player one in real life,pos,1
virtual reality augmented reality mixed reality,neg,0
apakah dunia sao cipta,neg,0
tapi banyak yg complain karna gak bisa nonton film dewasa,pos,1
bang coba sekal review sound sistem kaya canggih canggih kendali pake gadget harga nya canggih sih,neg,0
apple vision pro cipta gambar nyata angkt,pos,1
aku cinta lion parcel,pos,1
angkt buka peluang besar teknologi gadget,pos,1
biji nya di benerin dulu bang,neg,0
dapit the cyborg man,neg,0
goodd,neg,0
tidak cocok orang yg motion sickness mabuk,neg,0
siapp gansya ambil positif nya gak punya dwt buat beli gtuanhhh,pos,1
terus kalo duluan samsung,neg,0
tiati bg ntar lu kira orang gila,neg,0
coba utk chat bg,pos,1
kenapa sih kemarin topi ga mau banget lepas,pos,1
baru banget buka yt langsung muncul beranda kira review apple teleport,neg,0
mahal mahal buat telpon gak oawkoawko,pos,1
tinggal tunggu apple vision roleplay yg lihat cara global wkwk,neg,0
